
Input 500 numbers
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
ra
pb
ra
pb
pb
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
ra
ra
pb
pb
ra
ra
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
pb
pb
pb
pb
pb
ra
ra
pb
pb
pb
pb
pb
pb
ra
ra
ra
ra
pb
ra
ra
pb
ra
ra
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
pb
ra
pb
pb
pb
pb
ra
pb
ra
pb
pb
pb
ra
ra
pb
ra
pb
ra
ra
pb
ra
ra
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
pb
pb
pb
ra
ra
ra
ra
pb
ra
pb
ra
ra
ra
pb
pb
pb
ra
ra
ra
ra
ra
ra
ra
pb
ra
ra
pb
pb
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
pb
ra
ra
pb
ra
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
ra
pb
pb
pb
ra
pb
pb
ra
pb
ra
ra
ra
ra
pb
ra
pb
pb
pb
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
pb
pb
pb
pb
ra
ra
ra
ra
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
ra
ra
pb
pb
ra
pb
ra
pb
ra
pb
pb
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
ra
pb
ra
pb
ra
pb
pb
pb
ra
pb
ra
ra
ra
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
ra
pb
pb
pb
pb
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
ra
ra
pb
pb
ra
ra
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
pb
pb
pb
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
pb
pb
ra
pb
ra
ra
ra
ra
pb
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
pb
ra
pb
pb
ra
ra
ra
ra
ra
ra
ra
ra
pb
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
pb
pb
pb
ra
ra
pb
ra
pb
pb
pb
ra
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
pb
pb
ra
ra
ra
pb
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
ra
ra
pb
ra
pb
ra
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
ra
pb
ra
ra
ra
pb
pb
pb
ra
pb
pb
pb
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
ra
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
ra
pb
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
pb
pb
pb
ra
pb
ra
ra
ra
ra
ra
ra
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
ra
pb
pb
pb
ra
ra
ra
ra
ra
pb
pb
ra
pb
pb
pb
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
pb
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
ra
pb
pb
ra
ra
ra
ra
pb
pb
pb
ra
ra
pb
pb
pb
pb
ra
pb
pb
pb
pb
ra
ra
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
pb
pb
pb
ra
pb
ra
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
ra
ra
pb
pb
pb
pb
ra
ra
pb
ra
ra
pb
ra
ra
ra
pb
pb
pb
pb
ra
ra
pb
pb
pb
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
pb
ra
pb
ra
ra
ra
pb
pb
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pb
ra
ra
pb
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
pb
ra
pb
pb
pb
ra
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
pb
pb
ra
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
ra
ra
ra
ra
pb
pb
pb
pb
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
pb
ra
ra
pb
ra
ra
ra
pb
pb
pb
ra
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
pb
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
ra
pb
pb
ra
pb
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
ra
ra
pb
ra
pb
ra
pb
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
ra
ra
pb
pb
pb
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
ra
ra
pb
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
pb
ra
ra
pb
ra
ra
pb
ra
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
ra
ra
ra
pb
ra
pb
pb
pb
ra
pb
pb
pb
ra
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
ra
ra
pb
pb
pb
ra
pb
pb
pb
ra
pb
ra
ra
pb
pb
pb
ra
ra
ra
pb
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
pb
ra
pb
pb
pb
ra
pb
ra
ra
pb
pb
pb
ra
pb
pb
ra
ra
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
ra
pb
pb
ra
pb
pb
ra
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
ra
pb
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
pb
pb
ra
pb
pb
ra
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
ra
pb
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
ra
pb
pb
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
pb
pb
ra
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
ra
pb
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
pb
ra
ra
ra
pb
ra
pb
ra
ra
pb
pb
pb
ra
pb
ra
pb
pb
ra
ra
ra
pb
ra
pb
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
ra
pb
pb
pb
ra
pb
ra
ra
ra
pb
pb
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
ra
pb
pb
pb
ra
pb
ra
ra
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
ra
ra
ra
pb
pb
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
ra
pb
pb
pb
pb
ra
ra
ra
pb
pb
ra
ra
pb
pb
ra
pb
pb
ra
pb
ra
pb
pb
pb
ra
pb
ra
pb
pb
pb
ra
ra
pb
pb
pb
ra
pb
pb
pb
ra
ra
pb
pb
pb
pb
ra
pb
ra
pb
pb
ra
pb
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
ra
pb
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
pb
ra
ra
pb
ra
pb
pb
ra
pb
ra
ra
pb
pb
ra
pb
pb
pb
pb
pb
pb
pb
pb
pb
pb
pb
pb
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
pa
Finish!!!

**********After**********
stack a (size: 500)
[2] [3] [11] [13] [14] [17] [18] [20] [22] [24] [25] [26] [32] [33] [36] [41] [42] [43] [44] [47] [53] [54] [55] [56] [57] [58] [60] [64] [65] [69] [70] [71] [73] [75] [77] [79] [81] [82] [85] [86] [87] [88] [89] [91] [92] [94] [96] [100] [102] [103] [105] [106] [109] [110] [113] [116] [117] [121] [123] [129] [130] [132] [137] [141] [146] [147] [148] [149] [153] [154] [156] [158] [161] [162] [163] [164] [165] [166] [167] [169] [171] [177] [178] [180] [183] [186] [187] [189] [192] [193] [197] [198] [199] [201] [202] [203] [205] [206] [207] [208] [209] [210] [212] [214] [215] [217] [219] [220] [223] [226] [228] [229] [231] [233] [239] [240] [243] [244] [247] [249] [253] [259] [260] [262] [264] [269] [272] [275] [277] [279] [281] [282] [284] [285] [286] [288] [289] [290] [292] [298] [301] [302] [303] [307] [309] [312] [313] [315] [316] [317] [319] [320] [321] [322] [323] [325] [326] [328] [329] [330] [332] [334] [338] [341] [342] [345] [347] [348] [349] [352] [361] [363] [365] [367] [371] [375] [376] [377] [379] [381] [384] [385] [387] [389] [391] [392] [393] [395] [396] [397] [398] [399] [402] [403] [404] [405] [407] [411] [416] [417] [418] [420] [423] [432] [436] [437] [439] [443] [446] [448] [449] [450] [451] [452] [453] [455] [457] [458] [459] [460] [462] [463] [464] [465] [466] [467] [469] [471] [472] [474] [476] [477] [478] [480] [481] [482] [483] [493] [494] [495] [496] [497] [498] [501] [507] [509] [510] [513] [514] [515] [517] [520] [521] [522] [524] [526] [527] [528] [529] [531] [536] [537] [539] [541] [543] [545] [550] [552] [553] [554] [555] [556] [558] [559] [562] [563] [564] [567] [570] [571] [572] [573] [574] [576] [578] [584] [586] [588] [589] [591] [592] [596] [597] [598] [605] [607] [608] [610] [612] [613] [614] [619] [622] [624] [625] [628] [631] [632] [633] [634] [639] [641] [642] [644] [646] [648] [650] [651] [652] [654] [655] [656] [657] [661] [663] [665] [666] [667] [668] [669] [670] [672] [674] [675] [676] [680] [681] [684] [685] [690] [692] [693] [694] [696] [699] [700] [703] [705] [706] [710] [711] [714] [715] [717] [719] [720] [726] [727] [728] [733] [737] [739] [740] [741] [742] [743] [744] [746] [747] [749] [750] [751] [755] [756] [758] [761] [762] [765] [769] [770] [772] [773] [774] [776] [778] [780] [784] [788] [790] [791] [792] [797] [799] [801] [804] [805] [807] [808] [809] [810] [811] [813] [817] [818] [819] [823] [824] [825] [828] [829] [830] [831] [833] [835] [837] [838] [842] [843] [844] [846] [847] [848] [849] [850] [851] [852] [854] [857] [858] [861] [864] [867] [870] [872] [875] [876] [878] [880] [883] [884] [885] [886] [887] [890] [893] [894] [895] [896] [901] [903] [905] [907] [908] [915] [923] [924] [925] [927] [929] [930] [932] [934] [935] [937] [939] [940] [941] [944] [946] [948] [949] [950] [951] [952] [953] [958] [959] [961] [962] [963] [964] [968] [970] [973] [975] [976] [978] [981] [983] [984] [985] [986] [987] [990] [991] [993] [994] [996] [997] [998] 
stack b is empty. 

*************************
